year,respiratory,non_respiratory,pulmonary,extra_pulmonary
1913,80788,36351,NA,NA
1914,76109,23388,NA,NA
1915,68309,22283,NA,NA
1916,68109,22799,NA,NA
1917,68801,20884,NA,NA
1918,71631,18942,NA,NA
1919,61154,16357,NA,NA
1920,57844,15488,NA,NA
1921,56334,15368,NA,NA
1922,53422,15837,NA,NA
1923,57007,18494,NA,NA
1924,57737,18711,NA,NA
1925,58545,19228,NA,NA
1926,56212,18608,NA,NA
1927,54048,17697,NA,NA
1928,53047,17977,NA,NA
1929,52634,16544,NA,NA
1930,50583,16818,NA,NA
1931,49798,16084,NA,NA
1932,46579,15499,NA,NA
1933,44482,14095,NA,NA
1934,43034,13694,NA,NA
1935,39635,12435,NA,NA
1936,39336,12268,NA,NA
1937,39630,12661,NA,NA
1938,37879,12810,NA,NA
1939,34930,11275,NA,NA
1940,36151,10421,NA,NA
1941,39499,11465,NA,NA
1942,40629,11990,NA,NA
1943,42410,11932,NA,NA
1944,43794,10519,NA,NA
1945,42165,9944,NA,NA
1946,42173,9116,NA,NA
1947,43159,8566,NA,NA
1948,43971,8605,NA,NA
1949,44480,7561,NA,NA
1950,42435,6923,NA,NA
1951,42695,6744,NA,NA
1952,41904,6189,NA,NA
1953,40917,5629,NA,NA
1954,36973,5375,NA,NA
1955,33580,4554,NA,NA
1956,31342,4162,NA,NA
1957,28870,3799,NA,NA
1958,26391,3447,NA,NA
1959,24280,2820,NA,NA
1960,20799,2806,NA,NA
1961,19051,2696,NA,NA
1962,17845,2674,NA,NA
1963,16348,2589,NA,NA
1964,15019,2580,NA,NA
1965,13552,2551,NA,NA
1966,12355,2246,NA,NA
1967,11023,2183,NA,NA
1968,10681,2273,NA,NA
1969,9675,2490,NA,NA
1970,9475,2426,NA,NA
1971,9119,2578,NA,NA
1972,8689,2384,NA,NA
1973,8710,2446,NA,NA
1974,8102,2575,NA,NA
1975,8208,2610,NA,NA
1976,7712,2386,NA,NA
1977,7121,2399,NA,NA
1978,7708,2604,NA,NA
1979,6807,2459,NA,NA
1980,6670,2472,NA,NA
1981,5859,2269,NA,NA
1982,NA,NA,5466,1944
1983,NA,NA,4880,1923
1984,NA,NA,4535,1606
1985,NA,NA,4293,1564
1986,NA,NA,4345,1648
1987,NA,NA,3640,1446
1988,NA,NA,3675,1489
1989,NA,NA,3816,1616
1990,NA,NA,3618,1586
1991,NA,NA,3596,1840
1992,NA,NA,3816,1983
1993,NA,NA,3961,1960
1994,NA,NA,3694,1897
1995,NA,NA,3711,1897
1996,NA,NA,3690,1964
1997,NA,NA,3947,1912
1998,NA,NA,3926,2161
1999,NA,NA,3827,2317
2000,NA,NA,3708,2517
2001,NA,NA,3748,2601
2002,NA,NA,4136,2685
2003,NA,NA,4028,2756
2004,NA,NA,4133,2964
2005,NA,NA,4441,3378
2006,NA,NA,4409,3432
2007,NA,NA,4283,3471
2008,NA,NA,4388,3530
2009,NA,NA,4542,3727
2010,NA,NA,4163,3633
2011,NA,NA,4361,4010
2012,NA,NA,4266,3903
2013,NA,NA,3805,3560
2014,NA,NA,3464,3107
2015,NA,NA,3092,2738
2016,NA,NA,3114,2634
